Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,7/4/2020,Core Enchantment Zone,7/25/2020,Stuart  Zone,7/11/2020,Colchuck Zone,Awarded,2,7/25/2020,Stuart  Zone,6
Overnight Permit,8/20/2020,Core Enchantment Zone,8/13/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/6/2020,Core Enchantment Zone,8/28/2020,Core Enchantment Zone,6/4/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/31/2020,Core Enchantment Zone,8/7/2020,Core Enchantment Zone,8/14/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,8/28/2020,Core Enchantment Zone,8/21/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,8/5/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/6/2020,Snow Zone,9/8/2020,Core Enchantment Zone,8/25/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/4/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,8/5/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/3/2020,Snow Zone,8/18/2020,Snow Zone,7/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/23/2020,Core Enchantment Zone,8/30/2020,Snow Zone,8/16/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/10/2020,Colchuck Zone,8/9/2020,Snow Zone,8/4/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,10/7/2020,Core Enchantment Zone,9/30/2020,Core Enchantment Zone,10/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/30/2020,Core Enchantment Zone,9/6/2020,Core Enchantment Zone,9/11/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/4/2020,Core Enchantment Zone,9/19/2020,Eightmile/Caroline Zone (stock),6/20/2020,Eightmile/Caroline Zone,Unsuccessful,,,,
Overnight Permit,6/25/2020,Snow Zone,9/17/2020,Snow Zone,5/21/2020,Snow Zone,Awarded,3,5/21/2020,Snow Zone,6
Overnight Permit,8/1/2020,Core Enchantment Zone,8/2/2020,Core Enchantment Zone,8/3/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/25/2020,Colchuck Zone,7/23/2020,Core Enchantment Zone,8/13/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,10/10/2020,Colchuck Zone,9/26/2020,Colchuck Zone,10/10/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/12/2020,Core Enchantment Zone,8/17/2020,Core Enchantment Zone,8/17/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,6/25/2020,Core Enchantment Zone,6/26/2020,Snow Zone,6/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/6/2020,Eightmile/Caroline Zone,7/25/2020,Colchuck Zone,5/15/2020,Eightmile/Caroline Zone,Awarded,3,5/15/2020,Eightmile/Caroline Zone,3
Overnight Permit,8/6/2020,Core Enchantment Zone,8/6/2020,Snow Zone,6/6/2020,Snow Zone,Awarded,3,6/6/2020,Snow Zone,4
Overnight Permit,6/11/2020,Core Enchantment Zone,7/16/2020,Core Enchantment Zone,8/27/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,10/2/2020,Core Enchantment Zone,10/1/2020,Core Enchantment Zone,10/9/2020,Core Enchantment Zone,Unsuccessful,,,,
